juvenile;mother;treatment;mother_treatment_duration;hutch_date;incubation_time;svl;tail_length;head_height;head_width;head_length;body_mass;speed_age;max_sprint_speed;sprint_quality_race1;sprint_quality_race2;mass_in_climb;max_climb_speed;climb_quality_race1;climb_quality_race2;dispersal_age;dispersal_score;dispersal_setup;observations
5-fm3;fm3;vitamin;24;21-ago;35;29,2;42,64;3,32;4,11;7,14;0,523;19;0,617713552;3;3;0,669;0,259265452;4;4;39;0;2;
5-fm4;fm4;provitamin;25;31-ago;37;28,76;41,23;3,22;4,59;7,04;0,491;5;0,757445196;2;3;0,735;0,427285253;4;3;29;12;3;
5-fm6;fm6;vitamin;23;26-ago;36;27,64;44,53;3,33;5,13;7,11;0,593;10;0,914233971;3;4;0,72;0,424545033;4;;34;4;3;
5-fm13;fm13;provitamin;25;28-ago;39;26,03;42,39;3,37;3,98;6,44;0,48;16;0,469922759;4;4;0,476;0,468956143;4;4;;;;
5-fm14;fm14;provitamin;25;02-sep;39;25,75;39,54;3,23;4,48;6,89;0,464;11;0,655927873;3;3;0,508;0,457673051;4;4;27;7;3;
5-fm15;fm15;vitamin;25;30-ago;33;27,91;41,88;2,89;4,29;6,38;0,535;14;0,864271249;3;4;0,565;0,26513883;3;4;30;3;5;
5-fm20;fm20;Control;19;16-ago;36;26,74;43,15;3,37;4,48;7,07;0,477;22;0,733736136;3;3;0,631;0,312030763;1;4;44;16;7;
5-fm21;fm21;Control;20;21-ago;35;28,12;42,07;3,25;4,22;6,74;0,546;22;0,679491341;4;4;0,789;0,16024058;4;2;39;4;7;
5-fm23;fm23;Control;25;27-ago;37;26,93;39,99;2,99;4,14;7,06;0,492;17;;2;2;0,56;0,508267017;2;4;;;6;
5-fm25;fm25;Control;20;21-ago;35;26,61;35,6;3,22;4,24;6,06;0,504;22;0,750588203;4;3;0,643;0,339724459;2;4;39;8;6;
5-fm27;fm27;Control;19;22-ago;36;26,92;37,22;3,1;4,38;6,75;0,443;21;0,942066211;4;5;0,506;0,400413287;4;4;38;0;6;
5-fm28;fm28;Control;25;31-ago;34;27,89;38,62;3,71;4,71;6,91;0,521;13;0,52831416;3;2;0,545;0,506372891;3;3;29;4;5;
6-fm3;fm3;vitamin;24;23-ago;37;27,32;41,73;3,26;4,46;7,68;0,558;21;0,996858514;3;5;0,772;0,449424582;4;4;37;12;6;
6-fm5;fm5;vitamin;23;06-sep;37;26,49;37,45;3,21;4,55;6,94;0,436;7;0,733302368;4;4;0,421;0,354125008;4;4;23;4;7;
6-fm13;fm13;provitamin;25;25-ago;36;27,32;39,42;3,31;4,21;7,72;0,547;18;0,773292825;3;4;0,556;0,213199684;4;4;35;0;1;
6-fm14;fm14;provitamin;25;31-ago;37;25,82;37,43;3,39;4,63;6,75;0,472;13;0,935099295;3;2;0,502;0,343526738;4;4;29;14;6;
6-fm20;fm20;Control;19;15-ago;35;27,21;43,95;3,32;4,78;7,52;0,502;22;0,686936039;0;3;;;;;45;10;4;
6-fm23;fm23;Control;25;27-ago;37;26,45;40,6;3,32;4,11;7,2;0,474;9;;0;0;0,522;0,41852598;4;3;33;8;3;
